scene,dateComplete
LC81260522013137LGN02,2018-01-16 21:23:51.513085
LC81190592017291LGN00,2018-01-23 00:48:00.009000
LC81190652017291LGN00,2018-01-23 00:54:08.512000
LC81260372017292LGN00,2018-01-24 00:33:16.601000
